Java Basics,Introduction to Java programming and syntax,24
Object Oriented Programming,Understanding classes objects inheritance and polymorphism,32
Data Structures,Learning arrays lists stacks queues and trees,40
Algorithms Fundamentals,Sorting searching and algorithm complexity basics,36
Database Essentials,Introduction to relational databases and SQL queries,28
Web Development Basics,Building simple web applications using HTML CSS and JavaScript,30
Spring Framework Intro,Creating backend services with Spring Boot,34
REST API Design,Designing and implementing RESTful web services,26
Software Testing Basics,Unit testing integration testing and testing strategies,22
Version Control with Git,Using Git for source control collaboration and branching,16
